Athlete	100m H	HJ	SP	200m	LJ	JT	800m	Points
Ghada(syr)	13.72	1.86	15.95	23.85	6.26	55.7	135	6780
Natalya(BEL)	13.56	1.8	14.52	23.72	6.7	46	138	6563
Denise(GB)	13.45	1.77	13.92	24.44	6.32	54.82	137	6489
Urszula(POL)	13.48	1.86	14.36	24.27	6.3	43.28	132	6484
Eunice(SL)	13.5	1.77	12.87	24.67	6.57	45.26	133	6342
Rita(HUN)	13.95	1.83	14.69	24.92	6.32	46.46	137	6336
Sabine(GER)	13.55	1.83	14.48	24.89	6.21	48.72	143	6317
Kelly(US)	13.62	1.8	12.29	24.49	6.32	50.32	137	6307
Sharon(US)	13.34	1.77	13.45	24.42	5.96	46.98	132	6292
Remigija(LT)	13.59	1.74	13.83	24.51	6.33	42.68	133	6254
Mona(GER)	13.22	1.77	12.35	24.5	6.47	42.4	135	6246
Regla(CUB)	13.89	1.77	14.14	24.04	6.52	41.72	140	6246
Peggy(GER)	13.52	1.74	13.65	24.64	6.09	46.72	133	6234
Svetlana(RUS)	13.7	1.8	14.23	25.04	6.56	42.64	151	6118
Magalys(CUB)	13.3	1.71	13.03	24.04	5.71	51.22	141	6109
Diane(JAM)	14.17	1.8	12.88	25.12	6.57	40.32	138	6087
Yelena(RUS)	13.7	1.77	13.72	24.67	6.33	45.02	149	6082
Svetlana(KAZ)	14.69	1.86	12.5	25.15	5.98	43.8	133	6002
Irina(RUS)	13.9	1.77	14.16	24.98	6.07	40.08	147	5903
Jane(AUS)	14.57	1.8	13.64	25.7	5.93	44.58	139	5897
Tiia(FIN)	13.72	1.77	13.22	25.33	5.85	38.98	136	5887
Liliana(ROM)	13.37	1.65	13.3	24.96	6.09	38.66	140	5847
Patricia(SW)	13.81	1.68	12.34	24.88	5.82	43.84	138	5803
Inma(SPA)	14.3	1.77	13.05	25.87	5.74	40.42	146	5602
